site_ID,LAT,LONG,ELEV,IGBP,Climate_class,MAP,NEE,NEE_day,NEE_night,MATA,SSTA,IATA,DRTA,EVI,NDVI,LAI,GPP,SOC,TAS_tot,TAS_totp,TAS,TASp,Tmin1,Tmin2,Tmin3,Tmin4,Tmin5,Tmin6,Tmin7,Tmin8,Tmin9,Tmin10,Tmin11,Tmin12,TS_TA,TSmin_c,TSmin_c_gs,NEE_night_mod_p,NEE_night_mod_f,NEE_night_mod_fa
US-Uaf,64.8663,-147.8555,155,ENF,Dwc,263,-82.40987858,-227.6169823,145.2071037,-2.982425133,15.16822482,0.764873017,11.89887595,0.138765741,0.305327436,0.670178302,0.629977961,92,-0.016967858,0.392872266,-0.00140643,0.94613944,2.971428728,1.113186789,3.577655888,2.073479939,1.638754535,1.795311522,2.078754425,2.260366344,1.970109916,1.008205163,3.169376373,2.386886406,0.584971039,1.269558552,1.171465343,3.49761788,3.646434892,3.574669379
CA-Ca3,49.5346,-124.9004,171,ENF,Cfb,1676,-455.3792721,-959.0584668,503.6791947,12.33045528,6.675638368,0.936052594,7.000477811,0.483764766,0.857448783,2.771600197,1.447177175,128.279005,-0.031147887,0.002596595,-0.005469221,0.539722796,1.154139209,2.22556777,1.977362657,2.092014599,1.978608131,1.931282258,1.908058739,2.174505615,1.906739902,1.852307701,2.177948666,1.86637361,0.687486394,1.331713214,1.383331281,2.932678231,3.348521426,3.207305051
CA-Cbo,44.3167,-79.9333,120,DBF,Dfb,876.34,-300.1998484,-801.2863788,501.0865304,7.359258406,10.05677926,0.718274965,9.292756057,0.306037318,0.526104282,2.218255443,1.261075594,67.82142639,0.005522306,0.727778698,0.045881731,0.007731255,3.947838783,3.618608046,3.158241653,2.267252731,1.886007214,1.849743485,2.319194031,2.616923141,2.191428518,2.236483574,2.279999971,3.195750809,0.777559162,2.045464753,1.756275866,6.649682478,6.766211601,6.832154272
US-Ha1,42.5378,-72.1715,340,DBF,Dfb,1071,-255.8035223,-728.151619,472.3480967,8.297445324,9.80788058,0.876678293,8.105718341,0.40356279,0.704857136,2.480657874,1.309982489,76,0.019266097,0.086282113,0.049975822,1.42E-05,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041392136,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.687683913,1.466660191,1.36680067,4.883976753,5.27338544,5.414093543
US-Ha2,42.5393,-72.1779,360,ENF,Dfb,1071,-456.6123194,-777.3563094,320.7439901,8.439072822,9.896752583,0.453299542,8.095722153,0.40356279,0.704857136,2.556712065,1.317510843,110.2676788,0.023727102,0.260715962,0.049583144,0.034292514,2.858827925,2.58336997,2.528937769,1.920512843,1.79120872,1.809890223,2.041392136,2.313699627,1.797216105,1.43992672,2.127399302,2.380659246,0.597368044,1.274038717,1.118047981,3.304916059,3.70348787,3.803048877
US-Var,38.4133,-120.9508,129,GRA,Csa,559,1.649066579,-263.3390955,264.9881621,16.05593753,6.716035654,0.620708747,14.50050425,0.272531468,0.475748382,1.074555568,0.98014376,42,-0.115258003,8.14E-06,0.007450295,0.637340819,1.117728949,1.569084144,0.8872527,0.606666827,0.828278339,0.85662986,1.259341431,1.603004193,1.656703329,1.89318676,1.30761919,0.798974407,0.999440773,1.198035495,0.895466016,4.011754854,4.180414289,3.770474025
US-Ton,38.4309,-120.966,177,WSA,Csa,559,-84.61296201,-506.9859147,422.3729527,16.5282454,6.73374212,0.613127177,11.71376041,0.242400506,0.460178901,1.033990916,0.993069105,36,-0.020462839,0.048097181,0.01290152,0.112922091,1.115750933,1.607985282,0.906520128,0.59890101,0.870256364,0.872527444,1.26776619,1.614725828,1.693699622,1.864395666,1.319413948,0.797948742,0.714756452,0.865444455,0.759415413,3.092574231,3.193231575,3.143992979
US-Los,46.0827,-89.9792,480,WET,Dfb,828,-117.433639,-385.0218749,267.5882359,5.365222819,11.30207975,1.015702743,11.15129048,0.286608488,0.508468293,1.778806469,1.226050602,122.7002151,0.02214966,0.030031675,0.02853023,0.011798405,2.401172066,4.541025352,3.037802124,2.00571425,2.155091715,1.795604181,2.269890213,2.843955946,2.021392012,2.441391897,1.704688644,2.884322309,0.898662656,2.25429907,2.075129217,4.514934361,5.159683526,5.402374898
US-Wkg,31.7365,-109.9419,1531,GRA,Bsk,407,-35.43613377,-111.1105641,75.67443036,17.51108583,7.056447243,0.545548007,10.31767924,0.130699385,0.217351349,0.292958323,0.30991543,65.19973455,-0.077611356,0.000135181,0.043096496,0.024624002,0.413772851,0.705274749,0.093260027,0.203003693,0.927545846,0.64234364,1.002930069,1.216776657,1.392966771,1.697069573,0.821684933,0.616336977,1.157262645,0.938633144,1.121400631,0.814856545,0.840153263,0.770123513
US-SRM,31.8214,-110.8661,1120,WSA,Bsk,380,2.03561792,-123.1262101,125.161828,19.29130157,7.328108599,0.57786819,12.31917873,0.156863849,0.264012355,0.38618014,0.364387016,68.53139129,-0.135876251,8.70E-11,-0.015915161,0.317360072,0.647472537,0.923150158,0.264981753,0.449450678,1.082564163,0.926373827,1.247472763,1.549523592,1.720659113,1.994285941,1.026153851,0.827765536,1.046791448,1.104352234,1.721534663,1.572688747,1.556679129,1.232000305
US-CMW,31.6637,-110.1777,1199,DBF,Bsh,288,-369.4642007,-670.4184077,300.954207,17.01686845,7.434365108,0.398825588,18.12271666,0.165785473,0.312382748,0.524831265,0.452409511,12,-0.103216354,1.63E-14,-0.030308604,0.01964661,0.495164818,0.692161179,0.137729059,0.269304025,0.967765772,0.735824239,0.979340363,1.303296804,1.530255842,1.758754754,0.890329552,0.698314977,0.808469166,0.704597141,1.016979882,3.01255019,3.313335911,2.983170183
US-Ho1,45.2041,-68.7402,60,ENF,Dfb,1070,-299.3573364,-764.2698027,464.9124663,6.617698272,10.38945917,0.611917349,11.83988483,0.386299613,0.741637896,2.287593844,1.276349204,77.08237024,0.023485027,0.080471787,0.048506166,7.74E-05,2.959560585,3.179707003,3.050403023,2.582051325,2.067985392,2.276629925,2.52754612,2.523296595,1.968131804,1.758534718,2.101318645,2.49626379,0.570237485,1.401426521,1.268815166,4.315861368,4.519859172,4.65656939
US-Ho2,45.2091,-68.747,61,ENF,Dfb,1064,-324.2129436,-818.8030833,494.5901397,7.692434645,10.40290921,1.16021967,12.08461371,0.388248776,0.73354611,2.402239198,1.280136583,77.82012514,0.004990744,0.505240061,0.006202447,0.379997689,2.97010994,3.153040648,3.080293083,2.587765598,2.059633827,2.27509141,2.537069702,2.516849756,1.968424749,1.784688544,2.097509098,2.522857094,0.691328997,1.702589699,1.534728619,4.517415789,4.976170414,5.01443142
US-GLE,41.3665,-106.2399,3197,ENF,Dfc,1200,-41.06721474,-303.7133127,262.6460979,0.332191423,9.374343379,0.758923001,6.965512273,0.192594687,0.394892674,0.43781156,0.412233439,34,0.021886839,0.337661221,0.063827586,0.017786795,1.880146337,3.306813049,2.388791418,2.47978034,2.737655687,2.711941338,2.376849651,3.097802162,2.692893744,3.361318684,2.491208553,2.585274601,0.83037461,2.22197697,2.284314851,3.559104463,4.468465248,4.697551598
US-Me2,44.4526,-121.5589,1253,ENF,Csb,523,-352.5980349,-794.3348432,441.7368083,7.96091504,7.898648919,0.597719395,7.78935666,0.307782037,0.613216335,1.928813778,1.22255615,61.17514528,-0.033378436,0.028200027,-0.027191987,0.068591665,1.333479881,1.965348005,1.663003731,1.312673974,0.944395566,1.314578772,1.747326088,2.191941452,1.916776538,1.654432201,2.138095284,1.686080623,0.983085425,1.627672592,1.605061794,4.033485126,4.565153855,4.327014295
US-NR1,40.0329,-105.5464,3050,ENF,Dfc,800,-196.9782316,-441.8158234,244.8375918,2.380399544,8.796522907,0.529362658,7.419980278,0.260572978,0.513702303,1.289488567,0.916444571,41,-0.038816992,0.000872582,0.022621628,0.05063534,1.788498259,3.006153965,2.383882856,2.324175787,2.553846264,2.575824118,2.194651985,2.786739922,2.549157476,3.158681297,2.47501812,2.54197793,0.624693775,1.579361629,1.615974732,2.372368636,2.909538992,2.732637798
US-WCr,45.8059,-90.0799,520,DBF,Dfb,787,-279.4498798,-615.7618018,336.3119219,5.253207019,11.61621686,0.905934512,8.522157173,0.314963572,0.509575197,1.875118238,1.160576974,133.3623104,0.021634443,0.18143022,0.047479377,0.001352585,2.357729387,4.256263638,2.995311546,2.000659347,1.989450574,1.649084091,2.19516449,2.738461781,2.069597149,2.387326002,1.804249001,2.916263866,0.649610447,1.589356454,1.427323843,4.327045928,4.655744864,4.801754
US-UMB,45.5598,-84.7138,234,DBF,Dfb,803,-222.0701584,-652.2238179,430.1536595,7.146668061,10.58143848,0.944869919,7.382990387,0.324729546,0.5162724,2.128865931,1.686181183,80.23832177,0.000941918,0.9132747,0.010420419,0.332428571,3.666007519,3.806007338,3.227326059,2.2810256,1.726080656,1.686519885,2.195310974,2.426300192,2.09706974,2.399853373,2.008717918,3.481538534,0.708329351,1.82995458,1.495073566,5.345880646,5.774422387,5.782559871
US-MMS,39.3232,-86.4131,275,DBF,Cfa,1032,-362.7210847,-767.5449197,404.823835,12.47997252,9.991221544,0.722759137,7.963661222,0.397461544,0.65872374,2.355353417,1.549824708,35,-0.023834558,0.014654934,-0.006880323,0.373150145,2.07956028,2.273040342,1.79956038,0.83282057,1.019853544,1.565494657,2.52761879,2.366886425,2.04468894,1.792380857,2.306446934,2.035970688,0.655597885,1.237130824,1.272217617,4.628096249,5.095798708,4.943599316
US-PFa,45.9459,-90.2723,470,MF,Dfb,823,5.430551461,-312.9111045,318.3416559,5.756271476,11.52641834,1.240422614,8.678694663,0.318687833,0.57165196,1.855200534,1.19569368,133.3623104,-0.01784508,0.100386709,0.010689299,0.461151831,2.401172018,4.325201416,3.023955917,2.015091634,2.09098897,1.805494547,2.272454453,2.825567579,2.027839136,2.496410322,1.766666555,2.854871464,1.016172623,2.532447322,2.358849994,5.552104016,6.445833208,6.180134538
US-Syv,46.242,-89.3477,540,MF,Dfb,826,-137.4483863,-555.9874073,418.539021,4.596079175,11.59540273,0.997032233,8.021765063,0.269013311,0.526037184,1.866489208,1.186385045,136.0914913,-0.010409787,0.628686168,0.013895257,0.504141942,2.445495129,4.150329399,2.955311584,1.972454166,2.068205166,1.721465182,2.16102581,2.574432135,1.747912288,2.266813231,1.687838745,2.867179489,0.695723688,1.659211846,1.501265142,6.154894065,7.129287627,7.018738257
US-Whs,31.7438,-110.0522,1370,OSH,Bsk,320,15.99640701,-28.9958353,44.99224231,17.14865772,7.390926258,0.442867116,15.07800401,0.116940294,0.197097685,0.253273051,0.264389196,7,-0.118241543,0.029356191,0.071829492,0.093870488,0.490842497,0.680659306,0.055384748,0.207252781,0.93450563,0.698461223,1.016483688,1.203003955,1.456410384,1.717948937,0.877142906,0.706446886,1.289876894,1.079685321,1.808506094,0.778609616,0.781433883,0.630989987
US-ICt,68.6063,-149.3041,930,OSH,ET,318,-2.78557041,-71.19916536,68.41359495,-5.46855087,11.9086137,0.850603751,6.804573507,0.100842194,0.17364223,0.738432516,0.546040891,128,-0.035719599,0.589651211,0.013668574,0.747864339,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.417234747,0.98223378,0.939576895,1.186074409,1.26128786,1.21965984
US-ICh,68.6068,-149.2958,940,OSH,ET,318,9.131260073,-51.5939879,60.72524797,-6.722277403,12.73572221,1.186930185,7.387243734,0.099543512,0.172997456,0.690528112,0.538789719,128,-0.005995123,0.663906755,-0.007572447,0.585465746,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.446912909,1.052100668,1.00415716,1.831032145,1.924420111,1.912869815
US-ICs,68.6058,-149.311,920,WET,ET,318,82.01257147,-27.15501714,109.1675886,-6.53046965,12.9340777,1.30793692,8.273893886,0.100842194,0.17364223,0.763480374,0.581711018,128,0.027822632,0.26334863,0.012540096,0.64852915,4.072307873,1.452893662,3.267912197,1.668864799,1.471941328,1.993333364,2.137362766,2.3210989,2.104468918,1.310476232,3.455091095,2.994066143,0.389838944,0.917739911,0.874157243,1.947983717,2.180980995,2.234675726
US-SRG,31.7894,-110.8277,1291,GRA,Bsk,420,-36.87851754,-226.2165858,189.3380683,18.99026639,7.188866436,0.535970303,11.79684868,0.171173771,0.283310399,0.428213065,0.416332845,25,-0.089751609,1.13E-08,-0.001592451,0.850223269,0.686959743,0.926886439,0.263370046,0.501025695,1.107472396,0.951354992,1.24871788,1.573479486,1.756849694,1.975238132,1.049304104,0.850402951,1.035602534,1.112501334,1.170193633,1.093029923,1.047158658,0.942757389
US-IB2,41.8406,-88.241,226.5,GRA,Dfa,930.25,-205.2316686,-635.2071453,429.9754768,9.059868555,10.91359116,0.988658346,10.13887014,0.310126467,0.48691283,1.234162812,1.096204598,95.87462709,0.012634345,0.305364414,0.02794566,0.056412969,2.379633474,3.428351688,2.56249094,1.539780211,1.416190577,1.539707184,2.327545166,2.428571177,2.002637172,2.045348001,1.767912102,2.35963378,0.768240087,1.651575438,1.495966811,5.507549949,5.975083744,6.089090177
US-Kon,39.0824,-96.5603,417,GRA,Cfa,867,-167.4031012,-686.2682585,518.8651573,12.97245411,10.78846039,1.113310635,11.96747164,0.291339014,0.464675109,1.120332142,0.895653983,55,-0.07757754,6.99E-05,-0.018197767,0.190194189,1.55750916,2.863150311,1.887545776,1.774945116,1.971502018,1.955384231,2.60029335,3.239632893,2.71934042,3.228351641,2.13904767,2.174871874,0.860363715,2.015514887,2.104882193,7.794012104,9.32531234,7.920393416
US-MOz,38.7441,-92.2,219.4,DBF,Cfa,986,-351.7837805,-764.2644665,412.480686,13.60136774,10.36737614,1.020989786,9.676229457,0.374392751,0.650998563,2.501680664,1.501456763,45,-0.006456855,0.710911996,0.060536896,5.41E-06,1.525934076,2.577655697,1.913992691,1.281098986,1.387985468,1.670842099,2.497216797,2.723370218,2.360146666,2.579560423,2.086446857,1.992747235,0.689836966,1.413993161,1.511041031,3.904596804,4.108926849,4.069032733
US-NC2,35.803,-76.6685,5,ENF,Cfa,1320,-384.9087588,-1172.554711,787.6459522,16.09107111,7.991469304,0.432484858,10.28083082,0.408015095,0.736809985,4.327428587,1.770790858,134,0.003771727,0.715654462,0.024552945,0.060038886,1.75113554,1.370769191,1.585567951,0.938827562,1.02293005,0.996483469,1.71157608,1.469962978,1.821684647,1.316849613,2.407399368,1.613186812,0.684036477,1.026418011,1.046186507,4.414299304,4.713261056,4.731895995
US-Bar,44.0646,-71.2881,272,DBF,Dfb,1245.77,-183.1758899,-592.5895303,409.4136405,7.52986439,10.14496199,0.58312373,9.803626716,0.387836521,0.655113031,2.262319668,1.272860499,69.14467397,-0.000525004,0.978114821,0.010912704,0.604351329,3.098900986,2.942344379,2.84080596,2.214139271,1.755091596,2.019047379,2.232161522,2.382637262,1.772307634,1.65135529,2.361465216,2.696556568,0.61244461,1.42734366,1.269811479,5.230364244,5.979688146,5.975703082
CA-Oas,53.6289,-106.1978,530,DBF,Dfc,428.53,-129.5741244,-467.1110554,337.536931,1.918898563,12.81362665,0.937533834,8.176846631,0.254007803,0.445859197,1.745652071,0.910214577,85.7424686,-0.013167949,0.402117199,-0.009832304,0.474194476,1.016630089,4.263516903,3.801391983,3.034065914,3.205421162,2.751648426,2.679487038,3.227692461,2.593113422,3.183956099,2.936776543,3.030622435,0.552265405,1.64410895,1.596597392,5.56625811,6.32223205,6.19070148
CA-TP4,42.7102,-80.3574,184,ENF,Dfb,1036,-192.6207748,-736.5534224,543.9326476,9.342187458,10.17544123,0.784144302,7.468774826,0.36699535,0.658590351,2.403910765,1.457332049,87.33921272,0.019448786,0.066746029,0.050434639,9.10E-06,3.506959534,3.276996374,2.664468908,2.054578733,1.687179565,1.7924541,2.211648178,2.442710543,2.147838926,1.900512838,2.255604362,2.90146513,0.818967412,1.968416648,1.687152796,5.056847591,5.893747378,6.090347227
CA-TP3,42.7068,-80.3483,184,ENF,Dfb,1036,-547.8418281,-996.825181,448.983353,9.19332656,10.12005276,0.78360179,7.754000587,0.340775012,0.619047329,2.205274761,1.475515873,87.1240342,0.011139761,0.246220685,0.036826398,0.00019436,3.548205137,3.250696039,2.709523869,2.010842443,1.689450526,1.750842524,2.242344284,2.462197542,2.137362432,1.861391997,2.280293083,2.880366373,0.828511578,1.990051411,1.685875319,4.336542091,5.183909606,5.28218464
CA-Man,55.8796,-98.4808,259,ENF,Dfc,520,-2.647120468,-227.2297258,224.5826053,-1.18050736,14.66715171,1.294389055,9.768866138,0.189257877,0.453116642,1.008835988,0.723940764,177.3009249,0.042621692,0.005411276,0.035642802,0.008842225,2.049964046,4.766081333,3.174578285,3.754505301,3.350109911,3.204395723,2.815384865,2.918901205,2.304029369,2.954651976,4.253333092,3.807325602,0.710079247,2.328661143,2.256720264,2.260959044,2.797866622,3.08034758
CA-LP1,55.1119,-122.8414,751,ENF,Dfb,570,-181.7210075,-317.2944729,135.5734654,3.168149451,10.02317773,0.738260629,9.020263575,0.198464359,0.433229477,0.881869438,0.752706148,70.65000153,-0.044716287,0.003389928,0.016572773,0.382628527,0.919706845,2.509670305,3.246007395,2.445640945,2.584029245,2.281684828,2.231941795,2.700000143,2.593333292,2.583882761,3.016556835,2.862710714,0.810634077,2.024907526,2.13624998,2.578564286,3.09702544,2.814872447
CA-Ca1,49.8673,-125.3336,300,ENF,Cfb,1369,-373.7580182,-1083.818877,710.0608591,8.065500196,6.161815897,0.45007738,5.357712276,0.367616227,0.761267813,2.140919438,1.369223569,114.8103363,0.022781907,0.042790578,0.034687119,0.004924546,1.171501827,2.294432211,1.968498158,2.122710609,2.012014699,2.065494442,1.967619133,2.287838793,1.87648344,1.942710686,2.179413891,1.869597077,0.615413029,1.218431381,1.26993274,5.629970308,6.491489721,6.682041367
CA-Gro,48.2167,-82.1556,340,MF,Dfb,831,-113.4663209,-453.8777994,340.4114785,3.579075587,12.38930135,1.060415327,9.19250709,0.291918607,0.565476151,1.717918042,1.019259642,77.94115998,0.003542518,0.862023164,0.039106395,0.040366595,3.340146923,3.865494823,3.21010952,2.683662939,2.2080585,2.036336875,2.288644791,2.520879412,2.059780264,2.652234364,2.642637157,4.013553524,0.70962135,1.982299986,1.613285695,4.631244154,5.243322889,5.273374761
