,site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp
1,US-Uaf,1.919512079,0.317530161,2015,104,1,0.038982396,0.435201199
2,CA-Ca3,2.258754817,0.343299932,2013,21,10,-0.172310746,0.020128484
3,CA-Cbo,4.536624167,0.135906494,2020,16,8,-0.024294662,0.407581721
4,US-Ha1,3.353447004,0.101099372,2001,17,7,0.035137823,0.437183832
5,US-Ha2,2.151321935,0.402744423,2022,16,13,0.056539943,0.270632455
6,US-Var,3.318641286,0.17692898,2002,14,6,-0.00109796,0.972467051
7,US-Ton,2.384540588,0.207826413,2020,29,7,-0.001549565,0.956120655
8,US-Los,3.297427935,0.142668631,2001,14,7,0.04104431,0.474489425
9,US-Wkg,1.022825736,0.309822084,2006,14,12,0.122970323,0.430064967
10,US-SRM,1.15840922,0.370637445,2005,14,5,-0.011704131,0.720746508
11,US-CMW,1.108547337,0.660159575,2021,14,12,-0.047697211,0.013636008
12,US-Ho1,2.921998745,0.368766269,1998,14,14,-0.072505025,0.133908986
13,US-Ho2,2.913667478,0.400187807,2020,14,15,-0.029907103,0.151924529
14,US-GLE,1.247378501,0.449351586,2016,19,7,-0.019256833,0.771033034
15,US-Me2,1.209337006,0.787746236,2002,14,18,-0.199109182,0.035106885
16,US-NR1,1.536087375,0.307533512,2010,14,11,-0.012857239,0.823224818
17,US-WCr,3.102037403,0.11158892,2015,14,8,0.037054779,0.404145434
18,US-UMB,2.952425561,0.151230012,2006,23,5,-0.000347337,0.991915001
19,US-MMS,2.147878888,0.20276094,2015,27,6,-0.048729567,0.091670041
20,US-PFa,5.735226339,0.094869278,2018,14,7,-0.12488945,0.102553366
21,US-Syv,3.673961465,0.282576947,2018,16,6,0.002640626,0.93929616
22,US-Whs,1.144657154,0.174679536,2012,14,5,-0.009637224,0.917318832
23,US-ICt,1.996322051,0.116848587,2023,52,1,-0.304454783,0.010815756
24,US-ICh,1.475746666,0.071915269,2024,49,1,0.083920104,0.096330573
25,US-ICs,1.702622465,0.096051978,2014,57,1,0.031858961,0.694082136
26,US-SRG,1.016256671,0.609256896,2012,14,13,-0.002610933,0.936977261
27,US-IB2,1.796781075,0.427127825,2013,20,6,-0.020324498,0.476274669
28,US-Kon,3.240456333,0.343676728,2015,14,7,-0.022426167,0.13988386
29,US-MOz,3.593454445,0.111510988,2021,14,10,0.052137694,0.316589442
30,US-NC2,2.773426128,0.471766694,2008,21,17,0.151281063,0.187909421
31,US-Bar,3.522846041,0.119597556,2016,28,5,-0.13315937,0.32433752
32,CA-Oas,2.143954386,0.265175043,2005,17,6,0.012023265,0.779506052
33,CA-TP4,3.567488524,0.294123043,2022,14,13,0.04775883,0.111902946
34,CA-TP3,2.737343866,0.352585679,2018,14,15,-0.09643799,7.49E-05
35,CA-Man,0.850718865,0.779944291,1995,14,6,-0.016884187,0.796014012
36,CA-LP1,1.868298713,0.361808443,2009,14,14,0.080502488,0.615794282
37,CA-Ca1,3.639176438,0.479575565,2002,26,11,0.056253028,0.246958714
38,CA-Gro,3.164335762,0.173732939,2011,14,8,0.179026089,0.157433854
39,CA-Obs,1.260476849,0.652949648,2005,30,5,-0.034681517,0.456662825
40,CA-Ojp,1.639630463,0.415576309,2005,23,7,0.072183633,0.162686441
41,US-Jo2,0.963702003,0.133960554,2019,14,18,0.005138006,0.945751501
42,US-MtB,1.269214711,0.28657652,2023,17,18,-0.185198874,0.24018329
43,US-LL1,1.938506587,0.301363381,2020,14,8,-0.017763813,0.384619646
44,US-BZB,4.252093341,0.105546201,2017,21,5,-0.040422413,0.41004427
45,US-BZF,4.104839712,0.072342308,2014,26,3,-0.003399845,0.940024984
46,US-KL2,3.023868072,0.307103286,2019,14,8,-0.037665953,0.037878046
47,US-Ro4,1.929319723,0.349120682,2016,24,4,-0.052897016,0.161715968
48,US-KM4,3.111394705,0.369839739,2020,19,5,-0.006782649,0.871261095
49,US-MBP,1.20695951,0.315375291,2019,39,4,0.058394717,0.276749073
50,US-Myb,1.446487885,0.442148146,2020,14,12,0.00020231,0.998574635
51,US-NC4,3.495052764,0.386516041,2014,28,8,-0.060058869,0.642381916
52,US-Tw1,1.076566597,0.586301463,2017,16,9,0.111804181,0.395312525
53,US-Ced,2.308808054,0.451871166,2008,20,9,-0.012891028,0.920255358
54,US-Oho,2.8913389,0.147290245,2012,14,10,0.12106418,0.006564988
55,US-Slt,3.164490063,0.290251377,2013,22,6,0.126443197,0.461852403
56,US-Wrc,3.952175482,0.06605426,2004,14,13,0.012148473,0.824583396
57,AU-Tum,4.469118504,0.207692131,2001,44,4,0.014588419,0.892137665
58,BE-Bra,3.0790523,0.153753003,2007,18,8,0.036446299,0.586879876
59,BE-Vie,3.117924502,0.246301249,1999,30,7,0.136763814,0.048797274
60,CH-Lae,4.500584906,0.109177207,2014,29,5,-0.075118701,0.041411445
61,CZ-BK1,2.426680034,0.354070131,2016,28,8,0.296108414,0.005664586
62,CZ-wet,2.10996495,0.43263166,2012,28,3,0.003135836,0.964786697
63,DE-Gri,1.879334403,0.597504716,2016,22,5,0.049179476,0.419393686
64,DE-Hai,1.602782772,0.24438961,2009,41,4,-0.029494315,0.474336948
65,DE-Tha,1.618313363,0.427872945,2006,18,12,0.019416925,0.606929465
66,DK-Sor,2.524827806,0.283720442,2007,15,9,0.007395515,0.637840933
67,FI-Hyy,1.143356594,0.671951662,2005,39,3,-0.021821045,0.226332662
68,FI-Sod,1.777212989,0.450545425,2007,35,4,-0.067662065,0.195212088
69,FR-Pue,1.068752032,0.633228163,2011,15,12,0.014131253,0.892573652
70,IT-Lav,1.942566404,0.252865973,2007,24,14,-0.181035652,0.001945608
71,IT-MBo,2.830539472,0.353675525,2010,24,3,0.059029007,0.297273742
72,IT-Noe,1.49074887,0.39370725,2006,16,10,0.226348192,0.076290526
73,IT-Ren,1.941793858,0.361453488,2004,33,7,-0.047188379,0.487417967
74,IT-SRo,2.426030674,0.374411521,2002,17,13,0.039462866,0.664082753
75,NL-Loo,2.847988738,0.113517257,2012,17,9,0.036966071,0.417708927
76,RU-Fyo,2.073298222,0.612562507,2013,29,3,-0.138612067,0.137358445
77,ZA-Kru,1.784474674,0.561801936,2008,20,5,-0.10078912,0.011550065
78,IT-Tor,2.932310594,0.106961315,2011,48,2,0.030586773,0.728987283
79,BE-Dor,1.822961581,0.62890021,2014,24,8,0.021567498,0.495222478
80,CH-Fru,3.442957899,0.401172139,2011,44,4,0.059582912,0.196169684
81,CZ-RAJ,1.440891507,0.600535482,2019,24,9,0.189001,0.333435331
82,CZ-Stn,2.82752377,0.157536889,2021,45,3,0.012698893,0.837023606
83,DE-Obe,2.114482288,0.558775622,2014,30,6,0.151396931,0.148330462
84,DE-RuR,2.01180599,0.586119763,2016,21,7,0.056626187,0.205512209
85,CH-Aws,3.706085241,0.286163831,2020,19,7,0.072857462,0.291164941
86,ES-LJu,0.559814215,0.2733067,2020,18,10,-0.100031943,0.239226281
87,FR-FBn,1.379225018,0.375461121,2016,19,14,0.169501205,0.087239914
88,FR-Fon,3.786753541,0.143222264,2024,17,10,0.094390782,0.168137554
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
99,DE-SfS,4.803399592,0.137855043,2014,27,9,0.012351824,0.896124934
100,FR-Bil,1.721231224,0.436363225,2015,20,12,0.008748007,0.852308378
101,IT-TrF,2.769189327,0.051459205,2017,29,11,-0.038702603,0.687682901
102,SE-Nor,1.774402539,0.472149787,2015,30,2,-0.068202296,0.160213785
103,SE-Svb,1.458898069,0.668037113,2023,56,2,-0.051776249,0.614333525
104,UK-AMo,1.345453507,0.342260034,2007,19,5,0.027177355,0.528417929
105,CA-Mer,2.174557264,0.196676082,2009,14,10,0.026881869,0.417078127
106,CA-TPD,3.69418071,0.189622785,2019,14,9,0.15696393,0.026104857
107,US-BZS,4.246007271,0.089051158,2019,25,6,0.124271542,0.286102295
108,US-Cwt,5.733361078,0.082609123,2024,17,6,0.158713465,0.444022172
109,US-Rls,1.097374036,0.322605766,2015,14,10,-0.0612225,0.128972262
110,US-Rws,0.803611049,0.32605682,2019,14,8,0.002531936,0.893745714