study,respiration,class,r3,result,question
Stromgren_2001,soil,ENT,-0.15954217,YES,
Luo_2001,soil,grass,-0.081056845,YES,
Zhou_ 2007,leaf,grass,0.059492841,NO,
Zhou_ 2007,leaf,grass,0.054840038,NO,
Zhou_ 2007,leaf,grass,0.112384113,NO,
Zhou_ 2007,leaf,grass,0.1190179,NO,
Bolstad_2003,leaf,DBT,-0.061769609,YES,
Bruhn_2007,leaf,EBT,-0.106459716,YES,
Zhu_2020,leaf,biomes,-0.034484049,YES,
Chi_2013,leaf,grass,-0.18814723,YES,
Chi_2013,leaf,grass,0,NO,
Lee_2005,leaf,DBT,-0.090123794,YES,
Lee_2005,leaf,DBT,-0.070427324,YES,
Lee_2005,leaf,DBT,-0.053322223,YES,
OW_ 2010,leaf,ENT,-0.085741391,YES,
OW_ 2011,leaf,DBT,-0.035405521,YES,
CALCERRADA_2009,leaf,DBT,-0.084522891,YES,
CALCERRADA_2009,leaf,DBT,-0.095345353,YES,
CALCERRADA_2009,leaf,DBT,-0.093059865,YES,
Searle_2011,leaf,grass,-0.157924897,YES,
Searle_2011,leaf,grass,-0.247212103,YES,
Zha_2001,leaf,ENT,0.086784308,NO,
Zha_2002,leaf,ENT,0.09569119,NO,
Reich_2016,leaf,ENT,-0.067977436,YES,
Reich_2016,leaf,ENT,-0.064403431,YES,
Reich_2016,leaf,ENT,-0.027421005,YES,?
Reich_2016,leaf,ENT,-0.021982731,YES,?
Reich_2016,leaf,ENT,-0.057046569,YES,
Reich_2016,leaf,DBT,-0.057997883,YES,
Reich_2016,leaf,DBT,-0.026421836,YES,?
Reich_2016,leaf,DBT,-0.044789401,YES,
Reich_2016,leaf,DBT,-0.063563745,YES,
Reich_2016,leaf,DBT,-0.030133859,YES,
Reich_2016,leaf,ENT,-0.069307811,YES,
Reich_2016,leaf,DBT,-0.039374205,YES,
Rousk_2013,soil,shrub,-0.502875686,YES,
Rousk_2014,soil,shrub,-0.072475187,YES,
Shen_2019,soil,grass,-0.050934393,YES,
Zhang_2013,soil,grass,-0.222740593,YES,under-estimated
Suzuki_2016,soil,grass,-0.34602421,YES,under-estimated
Suzuki_2016,soil,grass,-0.240337312,YES,
Zhao_2019,soil,grass,-0.388652567,YES,
Chen_2016,soil,grass,-0.149619878,YES,
Wang_2019,soil,grass,-0.172932451,YES,
Wang_2019,soil,grass,-0.109398059,YES,
Yu_2025,soil,grass,-0.084904558,YES,
Suseela_2013,soil,mixed forest,-0.143776044,YES,
Suseela_2013,soil,mixed forest,-0.090117295,YES,
Suseela_2013,soil,mixed forest,-0.079812946,YES,
Chen_2021,root,forests,-0.084922903,YES,
Chen_2021,root,forests,-0.043547728,YES,
Jiang_2023,root,forests,-0.168665591,YES,
Muratore_2024,root,forests,-0.070081066,YES,
Zhang_2025,stem,global plants,-0.101,YES,
Zhang_2025,stem,B.alleghaniensis,-0.096,YES,
Zhang_2025,stem,P. nigra,-0.054,YES,
Zhang_2025,stem,P. pinaster,-0.123,YES,
Zhang_2025,stem,P. pinea,-0.271,YES,
Zhang_2025,stem,P. sylvestris,-0.135,YES,
Li_2025,soil,temperate forest,0.059728504,NO,
Li_2025,soil,tropical forest,0.113265996,NO,
Nottingham_2020,soil,tropical forest,0,NO,