site_ID,RMSE,R2,control_year,window_size,nwindow,TAS,TASp,TAS_tot,TAS_totp,TAS,TASp,,
NA,NA,NA,NA,NA,NA,,,0.000224837,0.990635877,0.000224837,0.990635877,,
NA,NA,NA,NA,NA,NA,,,-0.033349255,0.040982094,-0.033349255,0.040982094,,
CA-Cbo,4.598372938,0.123131375,2019,14,9,0.011375384,0.528332816,0.011375384,0.528332816,0.010909778,0.202838816,keep,"Ts has problems, use TA"
NA,NA,NA,NA,NA,NA,,,0.027096595,0.031243572,0.027096595,0.031243572,,
US-Ha2,2.072071009,0.455252087,2011,14,14,0.02124225,0.332875257,0.02124225,0.332875257,-0.015774629,0.320388542,keep,TS two years are abnormal
NA,NA,NA,NA,NA,NA,,,-0.114545794,1.30E-06,-0.114545794,1.30E-06,,
NA,NA,NA,NA,NA,NA,,,-0.024441256,0.014939778,-0.024441256,0.014939778,,
NA,NA,NA,NA,NA,NA,,,0.01953125,0.107684949,0.01953125,0.107684949,,
NA,NA,NA,NA,NA,NA,,,-0.175895377,0.002888846,-0.175895377,0.002888846,,
NA,NA,NA,NA,NA,NA,,,-0.135723155,9.24E-11,-0.135723155,9.24E-11,,
US-CMW,1.149187146,0.634772171,2007,14,12,-0.096795771,1.45E-12,-0.096795771,1.45E-12,-0.083299455,9.63E-17,keep,TS up and down. TA good
NA,NA,NA,NA,NA,NA,,,0.021021446,0.149285809,0.021021446,0.149285809,,
NA,NA,NA,NA,NA,NA,,,-0.003734023,0.603687975,-0.003734023,0.603687975,,
US-GLE,1.249991617,0.46346123,2015,14,10,-0.047346433,0.048474002,-0.047346433,0.048474002,-0.032554487,0.00198779,keep,TS data look normal
US-Me2,1.127787526,0.81428642,2019,14,18,0.013780339,0.343692826,-0.032086091,0.016445144,-0.032086091,0.016445144,no,TA may have some problems
NA,NA,NA,NA,NA,NA,,,-0.037383546,0.001791583,-0.037383546,0.001791583,,
NA,NA,NA,NA,NA,NA,,,0.017681098,0.295905225,0.017681098,0.295905225,,
NA,NA,NA,NA,NA,NA,,,-0.004424393,0.616527005,-0.004424393,0.616527005,,
NA,NA,NA,NA,NA,NA,,,-0.025500571,0.010629575,-0.025500571,0.010629575,,
NA,NA,NA,NA,NA,NA,,,-0.019113593,0.080769546,-0.019113593,0.080769546,,
US-Syv,3.800895241,0.287904778,2015,14,7,0.005645843,0.868245645,-0.026807392,0.259946713,-0.026807392,0.259946713,no,
NA,NA,NA,NA,NA,NA,,,-0.175124088,0.000980298,-0.175124088,0.000980298,,
US-ICt,2.134176534,0.09916976,2015,14,4,-0.089425176,0.514283646,-0.220188473,0.001762725,-0.220188473,0.001762725,no,remove the first 4 years of TS data in US-Ict
NA,NA,NA,NA,NA,NA,,,-0.003248239,0.860765325,-0.003248239,0.860765325,,
NA,NA,NA,NA,NA,NA,,,-0.009859211,0.748646552,-0.009859211,0.748646552,,
NA,NA,NA,NA,NA,NA,,,-0.0887056,2.09E-08,-0.0887056,2.09E-08,,
US-IB2,1.836986615,0.412009781,2016,14,8,0.008128626,0.567442287,0.008128626,0.567442287,-0.027609668,0.004274153,keep,TS large variation
US-Kon,3.276503272,0.312780629,2010,14,7,-0.0771084,0.000321337,-0.0771084,0.000321337,-0.028731121,0.004264707,keep,"abnormal TS, large variation"
NA,NA,NA,NA,NA,NA,,,-0.006177243,0.730961942,-0.006177243,0.730961942,,
NA,NA,NA,NA,NA,NA,,,-0.017834173,0.063595885,-0.017834173,0.063595885,,
US-Bar,3.542517356,0.129587229,2006,14,9,0.022454308,0.360491182,0.022454308,0.360491182,-0.054760852,0.008639227,keep,"TS look normal, but negative trend"
NA,NA,NA,NA,NA,NA,,,-0.007581997,0.64926946,-0.007581997,0.64926946,,
NA,NA,NA,NA,NA,NA,,,-0.016932252,0.045584558,-0.016932252,0.045584558,,
CA-TP3,2.746037101,0.339311995,2023,14,15,0.009141609,0.347645066,0.009141609,0.347645066,-0.075094847,8.36E-28,keep,vally like variation. 
NA,NA,NA,NA,NA,NA,,,0.033842285,0.088305106,0.033842285,0.088305106,,
NA,NA,NA,NA,NA,NA,,,-0.03559637,0.049633507,-0.03559637,0.049633507,,
NA,NA,NA,NA,NA,NA,,,0.029095443,0.008716794,0.029095443,0.008716794,,
CA-Gro,3.223415778,0.142339744,2010,14,8,-0.020788175,0.524034033,0.008555912,0.710516688,0.008555912,0.710516688,no,
CA-Obs,1.282417177,0.632597574,2008,14,11,-0.019301315,0.320296826,-0.019301315,0.320296826,-0.040009961,0.001117199,keep,"TS look normal, but low correlation between TA and TS"
CA-Ojp,1.631920136,0.402514,2008,14,12,0.011596637,0.427920414,-0.014045373,0.165975017,-0.014045373,0.165975017,no,TS look normal
US-Jo2,0.97491503,0.113662277,2016,14,18,-0.104146303,0.002033807,-0.104146303,0.002033807,-0.069754777,0.048509798,keep,a few TA is wrong
NA,NA,NA,NA,NA,NA,,,-0.050050128,0.001310878,-0.050050128,0.001310878,,
US-LL1,1.929910364,0.307468434,2009,14,8,-0.006457545,0.49244878,-0.006457545,0.49244878,-0.025496639,0.001169016,keep,TS data has problem
US-BZB,4.205681187,0.103695244,2021,14,8,0.046867224,0.313532702,0.046867224,0.313532702,-0.0482344,0.000380917,keep,the first 2 year TS has problems
US-BZF,4.117918149,0.069415164,2021,14,6,-0.036447151,0.594970993,-0.036447151,0.594970993,-0.048835324,0.021823197,keep,the last 2 year TS has problems
US-KL2,3.021033308,0.305925083,2011,14,8,-0.001853173,0.941410781,-0.001853173,9.41E-01,-0.035028031,3.09E-05,keep,abnormal TS data
NA,NA,NA,NA,NA,NA,,,-0.016911695,0.302022662,-0.016911695,0.302022662,,
US-KM4,3.140639215,0.364326538,2013,14,7,0.001289287,0.952084183,0.01123324,0.493318801,0.01123324,0.493318801,no,
US-MBP,1.140862254,0.366017852,2020,14,12,0.005672631,0.87273428,0.005672631,8.73E-01,-0.061118427,3.31E-05,keep,large variation in TS
US-Myb,1.334911161,0.423446095,2019,14,12,-0.010960362,0.821109658,-0.010960362,0.821109658,0.075191787,0.069209355,keep,last year TS is abnormal
US-NC4,3.483602875,0.398644713,2015,14,16,0.0957695,0.000123736,0.0957695,0.000123736,0.004099532,0.864645908,keep,no sure why TS is not correlated to TA
US-Tw1,1.152496989,0.431887298,2021,14,10,0.005571118,0.917412876,0.005571118,0.917412876,0.012189725,0.629879547,keep,large variation in TS
NA,NA,NA,NA,NA,NA,,,0.00772949,0.722144273,0.00772949,0.722144273,,
NA,NA,NA,NA,NA,NA,,,0.016902648,0.123809367,0.016902648,0.123809367,,
NA,NA,NA,NA,NA,NA,,,-0.007320031,0.820708749,-0.007320031,0.820708749,,
NA,NA,NA,NA,NA,NA,,,0.018441777,0.326780468,0.018441777,0.326780468,,
NA,NA,NA,NA,NA,NA,,,-0.022343041,0.125293057,-0.022343041,0.125293057,,
BE-Bra,3.032893261,0.179526859,2009,14,10,0.017021743,0.306899728,0.017021743,0.306899728,-0.036464919,0.074683625,keep,Too long time series
NA,NA,NA,NA,NA,NA,,,0.00156524,0.867302212,0.00156524,0.867302212,,
CH-Lae,4.394174714,0.107251537,2021,14,11,0.056185575,6.68E-08,5.62E-02,6.67671E-08,-0.036947102,0.000658213,keep,two sections of TS data
NA,NA,NA,NA,NA,NA,,,0.03277259,0.026542521,0.03277259,0.026542521,,
NA,NA,NA,NA,NA,NA,,,0.013277216,0.430151015,0.013277216,0.430151015,,
NA,NA,NA,NA,NA,NA,,,0.021720951,0.21252543,0.021720951,0.21252543,,
NA,NA,NA,NA,NA,NA,,,-0.032939059,0.001554466,-0.032939059,0.001554466,,
NA,NA,NA,NA,NA,NA,,,-0.010715324,0.033092555,-0.010715324,0.033092555,,
NA,NA,NA,NA,NA,NA,,,-0.028684423,1.12E-05,-0.028684423,1.12E-05,,
NA,NA,NA,NA,NA,NA,,,-0.033487078,2.81E-12,-0.033487078,2.81E-12,,
FI-Sod,1.762943052,0.443676365,2005,14,10,0.005273925,0.692743763,0.005273925,6.93E-01,-0.057561418,6.45E-07,keep,later section of data may have problems
NA,NA,NA,NA,NA,NA,,,0.016086664,0.382842147,0.016086664,0.382842147,,
NA,NA,NA,NA,NA,NA,,,-0.023360775,0.197398341,-0.023360775,0.197398341,,
NA,NA,NA,NA,NA,NA,,,-0.027344657,0.046851287,-0.027344657,0.046851287,,
IT-Noe,1.489337141,0.377034857,2013,14,11,0.048738377,0.012840201,0.054778838,0.002466405,0.054778838,0.002466405,no,
IT-Ren,1.947218939,0.356349606,2005,14,16,0.008639812,0.578500542,0.008639812,0.578500542,-0.030933264,0.016837477,keep,long data TS varied a lot
NA,NA,NA,NA,NA,NA,,,-0.035334255,0.001057385,-0.035334255,0.001057385,,
NL-Loo,2.779493947,0.140746029,2017,14,11,-0.025374014,0.034375086,-0.025374014,0.034375086,-0.033970049,0.016815847,keep,"long data, large variations"
NA,NA,NA,NA,NA,NA,,,-0.035865084,0.018232433,-0.035865084,0.018232433,,
ZA-Kru,1.845929257,0.525274449,2001,14,8,-0.171976585,0.000858451,-0.152015735,2.32E-09,-0.152015735,2.32E-09,no,
NA,NA,NA,NA,NA,NA,,,-0.007805966,0.790523042,-0.007805966,0.790523042,,
NA,NA,NA,NA,NA,NA,,,-0.004226001,0.624813819,-0.004226001,0.624813819,,
NA,NA,NA,NA,NA,NA,,,0.004279951,0.53852718,0.004279951,0.53852718,,
NA,NA,NA,NA,NA,NA,,,0.016129068,0.37759706,0.016129068,0.37759706,,
NA,NA,NA,NA,NA,NA,,,-0.011656365,0.304879914,-0.011656365,0.304879914,,
NA,NA,NA,NA,NA,NA,,,-0.003432536,0.752588176,-0.003432536,0.752588176,,
NA,NA,NA,NA,NA,NA,,,0.007828351,0.412515805,0.007828351,0.412515805,,
NA,NA,NA,NA,NA,NA,,,-2.30003E-05,0.998293577,-2.30E-05,0.998293577,,
NA,NA,NA,NA,NA,NA,,,-0.128365501,0.000141253,-0.128365501,0.000141253,,
NA,NA,NA,NA,NA,NA,,,0.064945929,0.000140777,0.064945929,0.000140777,,
NA,NA,NA,NA,NA,NA,,,0.004500902,0.729026112,0.004500902,0.729026112,,
GF-Guy,5.791732575,0.044309826,2010,14,26,-0.020628717,0.582082762,-0.020628717,0.582082762,0.040070094,0.005637489,keep,bad TS data
NA,NA,NA,NA,NA,NA,,,-0.023218024,0.067921713,-0.023218024,0.067921713,,
NA,NA,NA,NA,NA,NA,,,0.021794424,0.066829173,0.021794424,0.066829173,,
NA,NA,NA,NA,NA,NA,,,0.006414056,0.651132514,0.006414056,0.651132514,,
NA,NA,NA,NA,NA,NA,,,-0.020413942,0.045555004,-0.020413942,0.045555004,,
NA,NA,NA,NA,NA,NA,,,0.029392315,0.308035591,0.029392315,0.308035591,,
NA,NA,NA,NA,NA,NA,,,0.084474012,0.018854539,0.084474012,0.018854539,,
NA,NA,NA,NA,NA,NA,,,-0.037547634,0.248694619,-0.037547634,0.248694619,,
DE-RuC,1.156991729,0.599256474,2019,14,4,0.025356177,0.226615472,0.025356177,0.226615472,0.034030958,0.258119037,keep,"both are good, TA is better"
NA,NA,NA,NA,NA,NA,,,0.022336421,0.246558549,0.022336421,0.246558549,,
DE-SfS,4.680868557,0.147876602,2016,14,18,0.055551707,0.020408499,0.055551707,0.020408499,0.018899738,0.433334525,keep,TS has some variations
NA,NA,NA,NA,NA,NA,,,-0.056734322,6.04E-05,-0.056734322,6.04E-05,,
NA,NA,NA,NA,NA,NA,,,0.040320829,0.034839855,0.040320829,0.034839855,,
NA,NA,NA,NA,NA,NA,,,-0.032289804,0.228176317,-0.032289804,0.228176317,,
NA,NA,NA,NA,NA,NA,,,-0.023238667,0.180870275,-0.023238667,0.180870275,,
NA,NA,NA,NA,NA,NA,,,0.000737075,0.96556601,0.000737075,0.96556601,,
CA-Mer,2.095099862,0.251779384,2002,14,10,0.091962735,0.00119789,0.091962735,1.20E-03,-0.060097694,7.74E-06,keep,"TS variations are damped, may be artifical effects"
NA,NA,NA,NA,NA,NA,,,0.017172142,0.344832051,0.017172142,0.344832051,,
US-BZS,4.423590856,0.093066482,2015,14,10,0.044920193,0.593574222,0.097394653,0.006599987,0.097394653,0.006599987,keep,TA has problem. First two years TS may have problems. 
,,,,,,,,-0.032747477,0.451557684,-0.032747477,0.451557684,,
,,,,,,,,-0.048740812,0.004385619,-0.048740812,0.004385619,,
,,,,,,,,-0.034126558,0.018085289,-0.034126558,0.018085289,,